conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode,skillLabels
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,technical director,director of technical arts | technical supervisor | head of technical | technical and operations director | technical manager | head of technical department,,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technical directors realise the artistic visions of the creators within technical constraints. They coordinate the operations of various production units, such as scene, wardrobe, sound and lighting, and make-up. They adapt the prototype and study the feasibility, implementation, operation and technical monitoring of the artistic project. They are also responsible for the stage equipment and technical equipment.",2654.1.7,http://data.europa.eu/ux2/nace2.1/9031,theatre techniques | organise rehearsals | write risk assessment on performing arts production | coordinate with creative departments | adapt to artists' creative demands | negotiate health and safety issues with third parties | adapt designers’ work to the performance venue | promote health and safety | coordinate technical teams in artistic productions | write technical riders
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,metal drawing machine operator,wire drawer | forming machine operative | draw machine operator | metal drawing machine technician | draw machine operative | metal drawing machine operative | wiredrawing setter | wiredrawing machine tender | draw machine technician | wirer drawer machine operator | forming machine technician,,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Metal drawing machine operators set up and operate drawing machines for ferrous and non-ferrous metal products, designed to provide wires, bars, pipes, hollow profiles and tubes with their specific form by reducing its cross-section and by pulling the working materials through a series of drawing dies.",8121.4,http://data.europa.eu/ux2/nace2.1/242,quality and cycle time optimisation | types of metal | dies | quality standards | cold drawing processes | monitor gauge | remove inadequate workpieces | troubleshoot | remove processed workpiece | monitor moving workpiece in a machine | perform test run | ensure equipment availability | monitor automated machines | supply machine | set up the controller of a machine | non-ferrous metal processing | ferrous metal processing | metal forming technologies | manufacture of small metal parts | manufacturing of metal assembly products | types of metal manufacturing processes | manufacturing of door furniture from metal | manufacturing of weapons and ammunition | metal drawing processes | precious metal processing | record production data for quality control | perform product testing | tend bar drawing machine | tend tube drawing machine | wear appropriate protective gear | monitor conveyor belt | tend wire drawing machine | perform machine maintenance | advise on machinery malfunctions | mark processed workpiece | consult technical resources | operate lifting equipment | keep records of work progress | safely handle metal wire under tension
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,precision device inspector,precision device quality control supervisor | precision device quality assurance supervisor | precision instrument quality control inspector | precision instrument inspector | precision instrument supervisor | precision device QC inspector | inspector of precision devices | inspector of precision instruments | precision device quality control inspector | precision instrument QC inspector,,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Precision device inspectors make sure precision devices, such as micrometers and gauges, operate according to design specifications. They may adjust the precision devices and their components in case of any faults.",7543.10.3,http://data.europa.eu/ux2/nace2.1/2651,quality assurance procedures | precision engineering | precision mechanics | quality standards | precision measuring instruments | monitor machine operations | read assembly drawings | troubleshoot | conduct quality control analysis | read standard blueprints | communicate test results to other departments | meet deadlines | report defective manufacturing materials | ensure conformity to specifications | electrical engineering | micromechatronic engineering | microelectronics | MOEM | instrument performance elements | waste removal regulations | microprocessors | electronics | mechanical engineering | microoptics | micromechanics | microelectromechanical systems | interpret circuit diagrams | resolve equipment malfunctions | measure electrical characteristics | remove defective products | operate precision measuring equipment | calibrate precision instrument | calibrate electronic instruments | research equipment needs | maintain test equipment | use precision tools | check system parameters against reference values | send faulty equipment back to assembly line | keep records of work progress | write inspection reports | operate precision machinery | write records for repairs | interpret electrical diagrams
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,air traffic safety technician,air traffic safety electronics hardware specialist | air traffic safety electronics technician | air traffic safety electronics engineer | air traffic safety electronics software specialist | air traffic safety hardware specialist | air traffic safety software specialist | air traffic safety engineer,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems. They design, maintain, install and operate these systems both in the airport and on board the aeroplane according to regulations.",3155.1,http://data.europa.eu/ux2/nace2.1/5223,aircraft flight control systems | safety engineering | electrical systems used in transportation | technical drawings | airport electrical systems | electronics | air transport law | airport safety regulations | common aviation safety regulations | surveillance radars | implement airside safety procedures | install electrical and electronic equipment | use technical drawing software | follow airport safety procedures | carry out preventive airport maintenance | use testing equipment | assist in the conducting of flight checks | comply with air traffic control operations | implement safety management systems | monitor customer safety on apron | maintain electronic equipment | follow industry codes of practice for aviation safety | ensure aircraft compliance with regulation | operate radar equipment | air traffic management | electrical engineering | aircraft mechanics | types of aircraft | global navigation satellite system performance parameters | air traffic control operations | aviation meteorology | design electrical systems | conduct safe aircraft marshalling | perform necessary checks before moving aircraft onto stand | use meteorological information | deal with air traffic issues | debug software | test circuitry | inspect aircraft for airworthiness | test electrical equipment | undertake navigation safety actions | address aircraft mechanical issues | advise aircraft in hazardous conditions | oversee quality control | operate cockpit control panels | conduct airport safety inspections | use of air traffic services document | implement the airside safety auditing system | install software | assess operating cost | design control systems | perform aircraft maintenance | manage air navigation services | ensure safety in international aviation | design electronic systems
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,hospitality revenue manager,yield manager | hospitality yields manager | hospitality revenues manager | revenue manager,,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Hospitality revenue managers maximise revenue generated from facilities such as hotels, holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff.",2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55",property management software | produce statistical financial records | comply with food safety and hygiene | implement marketing strategies | monitor financial accounts | manage staff | analyse booking patterns | develop financial statistics reports | apply numeracy skills | forecast occupancy demand | ensure price competitiveness | develop business case | inspect data | develop revenue generation strategies | ensure cross-department cooperation | implement sales strategies | make data-driven decisions | manage hospitality revenue | plan medium to long term objectives | perform market research | coach employees | manage budgets | handle customer complaints | quote prices | manage yield | maintain customer service | conduct financial audits | develop working procedures | train employees
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,medical laboratory assistant,biomedical laboratory research assistant | clinical research assistant | assistant clinical researcher | assistant in medical laboratory | medical lab assistant | medical laboratory research assistant | biomedical laboratory assistant | assistant in biomedical laboratory,,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,"Excludes people performing analysis of blood samples, cell cultures, or review blood samples. Excludes people performing assignment of blood groups, interpretation of tests or results, or contacting patients with these results.",,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures. They work in the pre-analytical handling of samples such as checking the details of specimens received for analysis, maintaining analysers, loading reagents, and packaging specimens. They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis.",3212.2,http://data.europa.eu/ux2/nace2.1/861,techniques of blood-sampling | microbiology-bacteriology | automated analysers in the medical laboratory | laboratory techniques | blood type classification | perform laboratory tests | conduct routine blood testing | transport blood samples | archive healthcare users' records | mix chemicals | record test data | maintain laboratory equipment | examine cell specimens microscopically | wear appropriate protective gear | label blood samples | apply safety procedures in laboratory | communicate in healthcare | send samples to laboratory | calibrate laboratory equipment | maintain medical laboratory equipment | work safely with chemicals | identify patients' medical records | test chemical samples | perform sample testing | perform cerebrospinal fluid analysis | use chemical analysis equipment | operate scientific measuring equipment | prepare samples for testing | check the received biological samples | blood donation | biological chemistry | electroencephalography | clinical biochemistry | blood transfusion | blood collection on babies | paediatric phlebotomy procedures | dermapathology | virology | clinical cytology | histopathology | stem cells | immunology | fine-needle aspiration | data protection | cryopreservation | densiometry | microscopic techniques | tissue cytogenetics | urolithiasis in the urinary tract | carry out quality control in microbiology laboratories | examine samples in dermatology | perform bone marrow transplant | conduct cancer screening tests | collect biological samples from patients | order supplies | interpret hematological test results | perform fertility laboratory procedures | sterilise medical equipment | analyse cell cultures | perform PCR covid test | monitor stock level | maintain healthcare user data confidentiality | perform reconstructive microsurgery | analyse blood samples | assist in the production of laboratory documentation | dispose medical waste | perform stem cell transplantation | work with chemicals | explain the molecular basis of a disease to patients | interpret urology diagnostic tests | interpret medical results | carry out flow cytometry
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,asphalt laboratory technician,"bitumen technician | asphalt production technical supervisor | aggregates and bitumen laboratory technician | technical supervisor, asphalt production | road surface laboratory technician | road surface technician | aggregates and asphalt laboratory technician | site technician, asphalt | site technician | bitumen production technician | asphalt technician | asphalt production technician | materials technician",,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asphalt laboratory technicians perform asphalt and related raw materials inspections and laboratory testing, ensuring a high quality of the products. They also participate in coming up with resolutions to technical issues on construction sites.",3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399",asphalt mixes | inspect construction supplies | supervise site maintenance | run laboratory simulations | apply safety procedures in laboratory | supervise laboratory operations | check quality of raw materials | inspect asphalt | use safety equipment in construction | write inspection reports | test concrete | civil engineering | construction methods | construction industry | follow health and safety procedures in construction | conduct soil sample tests | set up temporary construction site infrastructure
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,primary school teaching assistant,primary school TA | primary school assistant | primary school paraprofessional | elementary school teaching assistant | primary school teaching aide | primary school instructional assistant | primary education teaching assistant | teaching assistant in primary schools,,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Primary school teaching assistants provide instructional and practical support to primary school teachers. They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class. They also perform clerical work, monitor the students' learning progress and behaviour and supervise the students with and without the head teacher present.",5312.2,http://data.europa.eu/ux2/nace2.1/852,primary school procedures | handle children's problems | guarantee students' safety | manage student relationships | support the positiveness of youths | maintain students' discipline | prepare youths for adulthood | implement care programmes for children | assist students with equipment | assist children in developing personal skills | provide teacher support | support children's wellbeing | perform playground surveillance | give constructive feedback | attend to children's basic physical needs | provide lesson materials | assist students in their learning | encourage students to acknowledge their achievements | workplace sanitation | social development | disability types | learning difficulties | common children's diseases | instructional strategies | teamwork principles | curriculum objectives | first aid | consult students on learning content | prepare lesson content | facilitate teamwork between students | assess the development of youth | escort students on a field trip | liaise with educational support staff | teach primary education class content | assess students | provide after school care | promote the safeguarding of young people | work with virtual learning environments | advise on lesson plans | perform classroom management | organise creative performance | maintain relations with children's parents
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,physiotherapist,respiratory therapist | masseuse | rehabilitation therapist | occupational therapist | osteopath | physiotherapist manager | neurological physiotherapist | respiratory physiotherapist | chiropractor | physical therapist | occupational physiotherapist | eurythmy therapist | neuromuscular physiotherapist | health and well-being therapist | chiropractic therapist | cardiovascular physiotherapist | neuromusculoskeletal physiotherapist | remedial physiotherapist | neurodevelopmental physiotherapist | health promotion worker | sports physiotherapist | manipulative physiotherapist | hydrotherapist | bobath physiotherapist | business physiotherapist,,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct.",2264.2,http://data.europa.eu/ux2/nace2.1/8695,orthopaedic manual physiotherapy | medical terminology | emergency surgery | orthopaedics | general medicine | surgery | human physiology | geriatrics | kinetics | neurology | pharmacology | physics | obstetrics and gynaecology | paediatrics | rehabilitation | sociology | biomechanics | therapeutic massage | human anatomy | manage healthcare staff | medical informatics | psychology | respiratory therapy | intensive care medicine | first aid | psychiatry | contribute to quality physiotherapy services | create solutions to problems | respond to changing situations in health care | manage a healthcare unit budget | educate on the prevention of illness | inform policy makers on health-related challenges | adjust physiotherapy interventions | employ cognitive behaviour treatment techniques | manage physiotherapy staff | develop strategic plans for physiotherapy services | contribute to continuity of health care | promote health and safety policies in health services | provide physiotherapy diagnosis | manage clinical risk | use e-health and mobile health technologies | assess physical conditions of clients | empathise with the healthcare user | triage clients for physiotherapy | record healthcare users' progress related to treatment | advocate health | measure effectiveness of the service provided | use different communication channels | manage healthcare users' data | deal with emergency care situations | develop physiotherapy services | provide health education | provide self management support | prescribe healthcare products | contribute to the rehabilitation process | adhere to health well-being and safety | provide information on the effects of physiotherapy | communicate in healthcare | develop therapeutic relationships | provide learning support in healthcare | follow clinical guidelines | collect healthcare user's general data | provide stroke rehabilitation services | advise on healthcare users' informed consent | comply with quality standards related to healthcare practice | comply with legislation related to health care | listen actively | supervise physiotherapist assistants | conduct physiotherapy assessment | adhere to organisational guidelines | correct potentially harmful movements | conduct health related research | work in a multicultural environment in health care | develop plans related to the transfer of care | promote inclusion | interact with healthcare users | provide treatment strategies for challenges to human health | ensure safety of healthcare users | supervise physiotherapy students | apply organisational techniques | interpret medical results | engage in physiotherapy research | develop a collaborative therapeutic relationship | apply context specific clinical competences | develop plans related to client discharge | refer healthcare users | work in multidisciplinary health teams | maintain physiotherapy equipment | accept own accountability | formulate a treatment plan | sport and exercise medicine | hydrotherapy | analyse personal fitness information | apply acupuncture | prescribe medication | use foreign languages for health-related research | use foreign languages in patient care | apply massage therapy
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,performing arts theatre instructor,professor of theatre | acting school teacher | theatre instructor in performing arts school | acting school instructor | instructor in performing arts | conservatory theatre instructor | performing arts theater instructor | theatre instructor | conservatory theatre lecturer,,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Performing arts theatre instructors educate students in specific theory and, primarily, practice-based theatre courses at a specialised theatre, or acting, school or conservatory at a higher education level. They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master in theatre. Performing arts theatre instructors monitor the students' progress, assist individually when necessary, and evaluate their knowledge and performance of theatre practice through assignments, tests and examinations.",2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853",assessment processes | breathing techniques | acting techniques | vocal techniques | instructional strategies | pronunciation techniques | teamwork principles | curriculum objectives | theatre techniques | guarantee students' safety | stimulate performers' imagination | prepare lesson content | facilitate teamwork between students | monitor developments in field of expertise | compile course material | bring out performers’ artistic potential | understand the emotional dimension of a performance | liaise with educational support staff | direct movement experiences | manage student relationships | adapt teaching to student's capabilities | apply teaching strategies | assess students | identify performers' needs | define creative components | analyse a script | define artistic performance concepts | maintain safe working conditions in performing arts | demonstrate when teaching | give constructive feedback | create a work environment where performers can develop their potential | perform classroom management | prepare performance training session | apply intercultural teaching strategies | conduct background research for plays | develop course outline | learning difficulties | human anatomy | scientific research methodology | movement techniques | understand the architecture of a live performance | assist in the organisation of school events | analyse theatre texts | develop drama production process | practice dance moves | perform improvisation | promote the conservatory | develop the physical language | interpret performance concepts in the creative process | identify technical resources for performances | adapt a script | assist students with equipment | develop learning curriculum | manage resources for educational purposes | play musical instruments | assist students with their dissertation | perform exercises for artistic performance | draw up reference documents for performance | keep records of attendance | adapt training to labour market | work with virtual learning environments | develop professional network | create script for artistic production | provide lesson materials | assist students in their learning | carry out auditions | develop methods for choreographic integration | practise singing | study play productions | analyse your fight discipline expertise | develop proposed choreographic language | provide career counselling
