job_category_source,n
"Engineering, Architecture, & Planning",464
Legal Affairs,219
Health,202
"Technology, Data & Innovation",152
Administration & Human Resources,145
Social Services,139
Constituent Services & Community Programs,138
Building Operations & Maintenance,136
"Public Safety, Inspections, & Enforcement",135
"Finance, Accounting, & Procurement",118
"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",93
Administration & Human Resources Social Services,88
"Policy, Research & Analysis",86
"Health Policy, Research & Analysis",59
Communications & Intergovernmental Affairs,46
"Engineering, Architecture, & Planning Policy, Research & Analysis",35
"Finance, Accounting, & Procurement Policy, Research & Analysis",34
Constituent Services & Community Programs Social Services,29
"Health Public Safety, Inspections, & Enforcement",22
"Technology, Data & Innovation Policy, Research & Analysis",19
"Legal Affairs Policy, Research & Analysis",17
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",12
"Administration & Human Resources Finance, Accounting, & Procurement",12
"Finance, Accounting, & Procurement Health",12
"Green Jobs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",12
"Technology, Data & Innovation Social Services",10
"Administration & Human Resources Policy, Research & Analysis Social Services",10
"Administration & Human Resources Policy, Research & Analysis",9
Mental Health,9
"Green Jobs Engineering, Architecture, & Planning Policy, Research & Analysis",8
Administration & Human Resources Legal Affairs,8
"Finance, Accounting, & Procurement Social Services",8
"Administration & Human Resources Technology, Data & Innovation",8
"Legal Affairs Public Safety, Inspections, & Enforcement",8
"Administration & Human Resources Public Safety, Inspections, & Enforcement",7
Constituent Services & Community Programs Communications & Intergovernmental Affairs,7
"Constituent Services & Community Programs Policy, Research & Analysis",7
"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",6
Administration & Human Resources Health,6
Communications & Intergovernmental Affairs Social Services,6
"Policy, Research & Analysis Social Services",6
Green Jobs,6
Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,6
Administration & Human Resources Communications & Intergovernmental Affairs,6
"Constituent Services & Community Programs Finance, Accounting, & Procurement Social Services",6
Administration & Human Resources Constituent Services & Community Programs,6
"Technology, Data & Innovation Legal Affairs",6
"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",6
"Constituent Services & Community Programs Engineering, Architecture, & Planning",5
Constituent Services & Community Programs Green Jobs Building Operations & Maintenance,4
Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs,4
Constituent Services & Community Programs Communications & Intergovernmental Affairs Legal Affairs,4
"Green Jobs Engineering, Architecture, & Planning",4
Health Building Operations & Maintenance,4
Administration & Human Resources Mental Health,4
Administration & Human Resources Legal Affairs Social Services,4
Administration & Human Resources Building Operations & Maintenance Social Services,4
"Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",4
Legal Affairs Social Services,4
"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",4
Constituent Services & Community Programs Mental Health Social Services,4
Mental Health Health Social Services,4
Communications & Intergovernmental Affairs Building Operations & Maintenance,4
"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",4
"Public Safety, Inspections, & Enforcement Social Services",4
Communications & Intergovernmental Affairs Health,4
"Engineering, Architecture, & Planning Technology, Data & Innovation",4
"Green Jobs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",4
"Communications & Intergovernmental Affairs Policy, Research & Analysis",3
"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",3
"Administration & Human Resources Building Operations & Maintenance Public Safety, Inspections, & Enforcement",3
Constituent Services & Community Programs Green Jobs,2
