seniority,basis,source,n
experienced,source,arbeitnow,761
(unknown),none,arbeitnow,645
manager,title_rule,arbeitnow,415
senior,title_rule,arbeitnow,355
intern_student,source,arbeitnow,268
entry,source,arbeitnow,104
intern_student,title_rule,arbeitnow,63
entry,title_rule,arbeitnow,48
manager,source,arbeitnow,38
executive,title_rule,arbeitnow,19
executive,source,arbeitnow,9
senior,source,arbeitnow,1
experienced,source,nyc_jobs,2078
entry,source,nyc_jobs,287
manager,source,nyc_jobs,282
intern_student,source,nyc_jobs,83
executive,source,nyc_jobs,41
