normalized_job_title,source,n
accountable manager,nyc_jobs,27
project manager,nyc_jobs,27
senior project manager,nyc_jobs,16
senior software engineer,arbeitnow,13
college aide,nyc_jobs,13
engineer-in-charge,nyc_jobs,10
assistant project manager,nyc_jobs,10
exterminator bureau of veterinary and pest control services,nyc_jobs,10
senior backend engineer,arbeitnow,8
deputy director,nyc_jobs,8
customer service representative,nyc_jobs,7
supervising public health nurse bureau of school health,nyc_jobs,7
forward deployed engineer,arbeitnow,7
data engineer,arbeitnow,7
engineering manager,arbeitnow,7
case management supervisor,nyc_jobs,6
account executive,arbeitnow,6
senior project manager,arbeitnow,6
senior devops engineer,arbeitnow,6
teamleiter logistik,arbeitnow,6
senior product manager,arbeitnow,5
creative strategist,arbeitnow,5
software engineer,arbeitnow,5
intake worker,nyc_jobs,5
senior accountant,arbeitnow,5
